person,event,roleWithinEvent
per.001167,oscys.caseid.0151,plaintiff
per.001168,oscys.caseid.0151,defendant
per.000737,oscys.caseid.0151,attorney
per.000738,oscys.caseid.0151,attorney
per.000003,oscys.caseid.0151,""
per.000004,oscys.caseid.0151,""
per.000739,oscys.caseid.0151,""
per.003549,oscys.caseid.0458,plaintiff
per.003550,oscys.caseid.0458,defendant
per.003551,oscys.caseid.0458,attorney
per.003548,oscys.caseid.0458,""
per.003552,oscys.caseid.0458,""
per.003553,oscys.caseid.0458,""
per.003554,oscys.caseid.0458,""
per.000700,oscys.caseid.0090,plaintiff
per.000701,oscys.caseid.0090,defendant
per.000572,oscys.caseid.0090,attorney
per.000003,oscys.caseid.0090,""
per.000004,oscys.caseid.0090,""
per.000461,oscys.caseid.0090,""
per.006430,oscys.caseid.0592,plaintiff
per.006425,oscys.caseid.0592,defendant
per.001393,oscys.caseid.0592,attorney
per.002096,oscys.caseid.0592,""
per.001493,oscys.caseid.0592,""
per.002097,oscys.caseid.0592,""
per.006312,oscys.caseid.0592,""
per.006426,oscys.caseid.0592,""
per.006398,oscys.caseid.0592,""
per.006399,oscys.caseid.0592,""
per.006687,oscys.caseid.0650,plaintiff
per.006688,oscys.caseid.0650,defendant
per.001393,oscys.caseid.0650,attorney
per.006312,oscys.caseid.0650,""
per.006669,oscys.caseid.0650,""
per.006406,oscys.caseid.0650,""
per.006398,oscys.caseid.0650,""
per.006399,oscys.caseid.0650,""
per.001493,oscys.caseid.0650,""
per.002097,oscys.caseid.0650,""
per.006670,oscys.caseid.0650,""
per.001200,oscys.caseid.0162,plaintiff
per.001201,oscys.caseid.0162,defendant
per.000640,oscys.caseid.0162,attorney
per.000003,oscys.caseid.0162,""
per.001197,oscys.caseid.0162,""
per.001198,oscys.caseid.0162,""
per.000044,oscys.caseid.0162,""
per.001199,oscys.caseid.0162,""
per.000004,oscys.caseid.0162,""
per.000883,oscys.caseid.0162,""
per.001204,oscys.caseid.0162,""
per.003815,oscys.caseid.0162,""
per.003696,oscys.caseid.0162,""
per.002547,oscys.caseid.0162,""
per.003781,oscys.caseid.0162,""
per.002328,oscys.caseid.0162,""
per.003896,oscys.caseid.0162,""
per.003820,oscys.caseid.0162,""
per.003897,oscys.caseid.0162,""
per.003898,oscys.caseid.0162,""
per.003823,oscys.caseid.0162,""
per.003899,oscys.caseid.0162,""
per.003826,oscys.caseid.0162,""
per.003900,oscys.caseid.0162,""
per.003864,oscys.caseid.0162,""
per.003828,oscys.caseid.0162,""
per.003829,oscys.caseid.0162,""
per.003831,oscys.caseid.0162,""
per.003901,oscys.caseid.0162,""
per.002745,oscys.caseid.0162,""
per.003902,oscys.caseid.0162,""
per.002549,oscys.caseid.0162,""
per.002315,oscys.caseid.0162,""
per.003833,oscys.caseid.0162,""
per.003836,oscys.caseid.0162,""
per.003837,oscys.caseid.0162,""
per.003838,oscys.caseid.0162,""
per.003839,oscys.caseid.0162,""
per.000001,oscys.caseid.0162,attorney
per.000464,oscys.caseid.0162,attorney
per.000831,oscys.caseid.0105,plaintiff
per.000832,oscys.caseid.0105,plaintiff
per.000833,oscys.caseid.0105,plaintiff
per.000834,oscys.caseid.0105,plaintiff
per.000278,oscys.caseid.0105,defendant
per.000836,oscys.caseid.0105,defendant
per.000476,oscys.caseid.0105,attorney
per.000001,oscys.caseid.0105,attorney
per.000003,oscys.caseid.0105,""
per.000004,oscys.caseid.0105,""
per.000502,oscys.caseid.0105,""
per.000837,oscys.caseid.0105,""
per.000838,oscys.caseid.0105,""
per.000839,oscys.caseid.0105,""
per.000840,oscys.caseid.0105,""
per.000740,oscys.caseid.0105,""
per.000461,oscys.caseid.0105,""
per.002546,oscys.caseid.0105,""
per.004649,oscys.caseid.0105,""
per.003696,oscys.caseid.0105,""
per.000006,oscys.caseid.0105,""
per.004653,oscys.caseid.0105,""
per.004659,oscys.caseid.0105,""
per.003817,oscys.caseid.0105,""
per.004652,oscys.caseid.0105,""
per.004657,oscys.caseid.0105,""
per.004646,oscys.caseid.0105,""
per.003509,oscys.caseid.0105,""
per.004055,oscys.caseid.0105,""
per.001574,oscys.caseid.0105,""
per.004655,oscys.caseid.0105,""
per.004661,oscys.caseid.0105,""
per.000977,oscys.caseid.0105,""
per.004660,oscys.caseid.0105,""
per.003830,oscys.caseid.0105,""
per.001621,oscys.caseid.0105,""
per.000978,oscys.caseid.0105,""
per.003867,oscys.caseid.0105,""
per.004056,oscys.caseid.0105,""
per.002549,oscys.caseid.0105,""
per.002315,oscys.caseid.0105,""
per.004000,oscys.caseid.0105,""
per.003837,oscys.caseid.0105,""
per.004654,oscys.caseid.0105,""
per.004651,oscys.caseid.0105,""
per.004658,oscys.caseid.0105,""
per.004650,oscys.caseid.0105,""
per.004647,oscys.caseid.0105,""
per.004648,oscys.caseid.0105,""
per.004312,oscys.caseid.0472,plaintiff
per.004313,oscys.caseid.0472,plaintiff
per.002112,oscys.caseid.0472,attorney
per.002883,oscys.caseid.0472,attorney
per.000064,oscys.caseid.0472,""
per.004311,oscys.caseid.0472,""
per.002119,oscys.caseid.0261,plaintiff
per.002120,oscys.caseid.0261,plaintiff
per.002121,oscys.caseid.0261,plaintiff
per.002122,oscys.caseid.0261,plaintiff
per.002123,oscys.caseid.0261,defendant
per.002124,oscys.caseid.0261,defendant
per.002125,oscys.caseid.0261,defendant
per.002126,oscys.caseid.0261,defendant
per.000001,oscys.caseid.0261,attorney
per.000003,oscys.caseid.0261,""
per.002118,oscys.caseid.0261,""
per.000006,oscys.caseid.0261,""
per.000004,oscys.caseid.0261,""
per.003504,oscys.caseid.0461,plaintiff
per.003505,oscys.caseid.0461,plaintiff
per.003506,oscys.caseid.0461,plaintiff
per.003507,oscys.caseid.0461,plaintiff
per.003501,oscys.caseid.0461,""
per.000004,oscys.caseid.0461,""
per.003502,oscys.caseid.0461,""
per.000044,oscys.caseid.0461,""
per.000064,oscys.caseid.0461,""
per.000904,oscys.caseid.0461,defendant
per.003499,oscys.caseid.0461,defendant
per.000873,oscys.caseid.0461,attorney
per.000003,oscys.caseid.0461,""
per.000699,oscys.caseid.0461,""
per.003510,oscys.caseid.0461,""
per.000502,oscys.caseid.0461,""
per.003564,oscys.caseid.0461,""
per.003565,oscys.caseid.0461,""
per.000122,oscys.caseid.0461,""
per.002897,oscys.caseid.0461,""
per.003566,oscys.caseid.0461,""
per.003567,oscys.caseid.0461,""
per.003568,oscys.caseid.0461,""
per.003569,oscys.caseid.0461,""
per.000866,oscys.caseid.0461,""
per.000131,oscys.caseid.0461,""
per.003570,oscys.caseid.0461,""
per.000435,oscys.caseid.0461,attorney
per.000739,oscys.caseid.0461,""
per.005350,oscys.caseid.0539,plaintiff
per.005351,oscys.caseid.0539,plaintiff
per.005352,oscys.caseid.0539,defendant
per.001393,oscys.caseid.0539,attorney
per.004534,oscys.caseid.0539,attorney
per.001495,oscys.caseid.0539,attorney
per.004601,oscys.caseid.0539,""
per.001514,oscys.caseid.0539,""
per.001493,oscys.caseid.0539,""
per.005133,oscys.caseid.0539,""
per.005170,oscys.caseid.0539,""
per.005218,oscys.caseid.0539,""
per.005224,oscys.caseid.0539,""
per.005288,oscys.caseid.0539,""
