identifier,uri,name,type,project,date,event,source,people
oscys.case.0427.001,http://earlywashingtondc.org/doc/oscys.case.0427.001,Alexander Brent v. Ariss Buckner & Bernard H. Buckner. Petition for Freedom,Civil (document),O Say Can You See,1833-09-25,oscys.caseid.0441,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 2",per.003503;per.000904;per.003499;per.000873;per.000003;per.001621;per.000044
oscys.case.0188.001,http://earlywashingtondc.org/doc/oscys.case.0188.001,Nelly Lemon v. John H. Bayne. Petition for Freedom,Civil (document),O Say Can You See,1830-03-19,oscys.caseid.0190,"National Archives and Records Administration, Record Group 21, Entry 6, Box 462, Folder 385",per.001426;per.001427;per.001428;per.001429;per.001430;per.001431;per.001432;per.000496;per.001433
oscys.case.0303.007,http://earlywashingtondc.org/doc/oscys.case.0303.007,Stephen Ambush v. James G. Robinson. Summons of James G. Robinson,Civil (document),O Say Can You See,1857-05-28,oscys.caseid.0305,"National Archives and Records Administration, Record Group 21, Entry 6, Box 836, Folder 251",per.002319;per.002320;per.000829;per.000751;per.000476;per.002322;per.001216;per.000740
oscys.case.0281.011,http://earlywashingtondc.org/doc/oscys.case.0281.011,Milly Henderson v. William Sexsmith. Summons of William Sexsmith,Civil (document),O Say Can You See,1857-05-27,oscys.caseid.0279,"National Archives and Records Administration, Record Group 21, Entry 6, Box 835, Folder 192",per.002196;per.002197;per.002198;per.000476;per.001216;per.000740
oscys.case.0282.021,http://earlywashingtondc.org/doc/oscys.case.0282.021,Sarah H. Medulla v. Georgiana Munroe. Summons of Georgiana Munroe,Civil (document),O Say Can You See,1860-05-23,oscys.caseid.0280,"National Archives and Records Administration, Record Group 21, Entry 6, Box 931, Folder 46",per.002199;per.002200;per.002201;per.001842;per.000476;per.001217;per.001841;per.000740
oscys.case.0372.009,http://earlywashingtondc.org/doc/oscys.case.0372.009,Fanny Smith v. Joseph Thornton. Summons of Catharine Watson & Delia Jenkins,Civil (document),O Say Can You See,1808-07-13,oscys.caseid.0397,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.002939;per.002940;per.000004;per.002816;per.002943;per.002886;per.002942
oscys.case.0391.005,http://earlywashingtondc.org/doc/oscys.case.0391.005,Samuel Reeler v. Matthew Robinson. Summons of Elizabeth Sullivan,Civil (document),O Say Can You See,1819-11-10,oscys.caseid.0416,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.003106;per.003107;per.003102;per.000004;per.000122;per.002897;per.003113
oscys.case.0370.023,http://earlywashingtondc.org/doc/oscys.case.0370.023,Loudon v. Charles Scott. Summons of Thomas Butler,Civil (document),O Say Can You See,1805-07-08,oscys.caseid.0396,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 1",per.002915;per.002916;per.001555;per.002924;per.002816;per.000183
oscys.case.0105.007,http://earlywashingtondc.org/doc/oscys.case.0105.007,Ann Williams v. George Miller & George Miller Jr. Receipt for Purchase of Ann Williams,Civil (document),O Say Can You See,1815-11-29,oscys.caseid.0105,"National Archives and Records Administration, Record Group 21, Entry 6, Box 468, Folder 89",per.000831;per.000832;per.000833;per.000834;per.000278;per.000836;per.000003;per.000004;per.000840;per.000740
oscys.case.0172.010,http://earlywashingtondc.org/doc/oscys.case.0172.010,Mary Bell v. Susan Armistead. Jury Instructions,Civil (document),O Say Can You See,1847-12-06,oscys.caseid.0174,"National Archives and Records Administration, Record Group 21, Entry 6, Box 718, Folder 96",per.001253;per.001254;per.001255;per.000476;per.000044
oscys.case.0416.006,http://earlywashingtondc.org/doc/oscys.case.0416.006,Daniel Wells v. Benjamin F. Lewis. Docket Sheet,Civil (document),O Say Can You See,,oscys.caseid.0443,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 2",per.003326;per.003327;per.000003;per.003328;per.003330
oscys.report.0025.001,http://earlywashingtondc.org/doc/oscys.report.0025.001,Harry Wigle v. George Kirby. Circuit Court Report,Civil (document),O Say Can You See,1829-05,oscys.caseid.0089,"William Cranch, Reports of Cases Civil and Criminal in the United States Circuit Court of the District of Columbia, from 1801 to 1841, Volume III, Boston: Little, Brown and Company (1852)",per.000690;per.000691;per.000692;per.000693;per.000694;per.000695;per.000696;per.000496;per.001183;per.000689;per.000064
oscys.report.0057.001,http://earlywashingtondc.org/doc/oscys.report.0057.001,Frederick Bowman v. Henry Barron. Circuit Court Report,Civil (document),O Say Can You See,1834-03,oscys.caseid.0465,"William Cranch, Reports of Cases Civil and Criminal in the United States Circuit Court of the District of Columbia, from 1801 to 1841, Volume IV, Boston: Little, Brown and Company (1852)",per.004271;per.004272;per.000001;per.000747;per.000435;per.004268;per.004269;per.004270;per.000064
oscys.case.0339.001,http://earlywashingtondc.org/doc/oscys.case.0339.001,Lucy Oakley v. Asa E. Hough. Petition for Freedom,Civil (document),O Say Can You See,1822-11-10,oscys.caseid.0364,"National Archives and Records Administration, Record Group 21, Entry 6, Box 319, Folder 473",per.002515;per.002516;per.002517;per.002514
oscys.case.0437.009,http://earlywashingtondc.org/doc/oscys.case.0437.009,Georgiana et al. v. Edward Swann. Supreme Court Pamphlet for Richard B. Alexander v. Moses Graham,Civil (document),O Say Can You See,1840,oscys.caseid.0480,"Library of Virginia, Richmond, Virginia, Local Government Records Collection, Arlington County Court Records, Arlington County (Va.) Judgments (Freedom Suits), 1795-1858, Box 2",per.004453;per.004454;per.004455;per.004456;per.001366;per.001347;per.001343;per.001344;per.004470;per.004471;per.000737;per.000003;per.000738;per.004472;per.001346;per.001348;per.003886;per.000287;per.000004;per.000873;per.001352;per.001345;per.001342;per.001355;per.000739;per.001349;per.000001;per.004475;per.004473;per.001350;per.003693;per.001351;per.000977;per.001353;per.003636;per.000721;per.000044;per.004474;per.002315;per.001356;per.003892;per.003923;per.001357;per.001358;per.001359;per.001367;per.001155;per.001360;per.000064;per.001361;per.001362;per.001363;per.001364;per.001365;per.000513
oscys.mdcase.0014.100,http://earlywashingtondc.org/doc/oscys.mdcase.0014.100,Henny Butler v. Thomas Clagett. Judgment Record,Civil (document),O Say Can You See,1792-05,oscys.caseid.0607,"Maryland State Archives, General Court of the Western Shore (Judgment Record), MSA S497-17",per.006593;per.006594;per.006404;per.001495;per.006464;per.006595;per.006596;per.006599;per.006440;per.006312;per.006383;per.006601;per.006398;per.006603;per.006598;per.001493;per.006602;per.002097;per.006600;per.006463;per.001477;per.006597;per.006441;per.004529
oscys.case.0168.011,http://earlywashingtondc.org/doc/oscys.case.0168.011,Margaret Norah Atkins & Alfred Atkins v. James Bowling & Clarissa B. Gardiner. Summons of James Bowling & Clarissa B. Gardner,Civil (document),O Say Can You See,1848-07-17,oscys.caseid.0170,"National Archives and Records Administration, Record Group 21, Entry 6, Box 723, Folder 102",per.001239;per.001240;per.001241;per.001242;per.000829;per.001236;per.000003;per.000004;per.001238;per.000748
oscys.case.0103.011,http://earlywashingtondc.org/doc/oscys.case.0103.011,Amy Gray v. Henry Howison. Disclaimer of Henry Howison,Civil (document),O Say Can You See,1835-05-02,oscys.caseid.0103,"National Archives and Records Administration, Record Group 21, Entry 6, Box 535, Folder 640",per.000758;per.000759;per.000770
oscys.case.0188.008,http://earlywashingtondc.org/doc/oscys.case.0188.008,Nelly Lemon v. John H. Bayne. Affidavits of Joseph Booth & Samuel Webster,Civil (document),O Say Can You See,1832-06-21,oscys.caseid.0190,"National Archives and Records Administration, Record Group 21, Entry 6, Box 468, Folder 60",per.001426;per.001427;per.001428;per.001434;per.001435;per.001429;per.001430;per.001431;per.001432;per.001438;per.000699;per.001437;per.001436
oscys.case.0185.002,http://earlywashingtondc.org/doc/oscys.case.0185.002,Mary Duckett v. John McCutchen & John H.G. McCutchen. Summons of Benjamin O. Sheckles,Civil (document),O Say Can You See,1848-04-10,oscys.caseid.0187,"National Archives and Records Administration, Record Group 21, Entry 6, Box 723, Folder 9",per.001209;per.001211;per.001212;per.000533;per.000003;per.000004;per.001416;per.000748
oscys.case.0155.003,http://earlywashingtondc.org/doc/oscys.case.0155.003,John R. Smith v. Thomas Haynes. Summons of Thomas Haynes,Civil (document),O Say Can You See,1848-01-06,oscys.caseid.0157,"National Archives and Records Administration, Record Group 21, Entry 6, Box 717, Folder 25",per.001178;per.001179;per.001180;per.000751;per.000003;per.000004;per.000739
oscys.case.0070.002,http://earlywashingtondc.org/doc/oscys.case.0070.002,"William v. George Milburn, John Coburn, & John L. Alford. Petition for Freedom",Civil (document),O Say Can You See,1826-05-26,oscys.caseid.0070,"National Archives and Records Administration, Record Group 21, Entry 6, Box 371, Folder 511",per.000590;per.000591;per.000592;per.000593;per.000001;per.000003
